"","Week","approve_estimate","disapprove_estimate","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","New.Cases","New.COVID.19.Hospital.Admissions","tweet_sentiment"
"16",1,42.2649265714286,53.5217387142857,5462835,5462835,0,407480.142857143,1.626,1.626,0,1211.57142857143,253694.142857143,"15740",0.51
"23",2,39.365218,56.5802707142857,10404218.6,9650270.75,421801.428571429,737980.285714286,3.092,2.8675,0.44,2194.14285714286,209646.571428571,"16153",0.16
"30",3,44.3973428,49.1023566,18545641.1666667,15842511.6666667,2225879.71428571,958644.571428571,5.515,4.71,0.771666666666667,2850.28571428571,166867.285714286,"15050",-0.2
"37",4,54.4021675714286,35.4571182857143,26529630.7142857,21952102.5714286,4370020.42857143,1215981.28571429,7.88714285714286,6.52714285714286,1.29857142857143,3615.42857142857,140634.571428571,"12945.71",0.12
"44",5,53.2093882857143,35.4665944285714,35879048.4285714,28323386.1428571,7189121.28571429,1335631,10.6685714285714,8.42142857142857,2.13571428571429,3971.28571428571,112548.857142857,"9751.29",0.61
"51",6,54.2140885714286,37.0903495714286,46960120.7142857,34985422,11466026,1583010.28571429,13.9614285714286,10.4014285714286,3.41,4706.85714285714,86677.5714285714,"9515.71",0.65
"58",7,54.5248144285714,37.8019362857143,58867522.5,41562449.5,14349918.8571429,1602788.85714286,17.5033333333333,12.3583333333333,4.97833333333333,4765.57142857143,62077.5714285714,"7544.14",0.72
"65",8,54.4420827142857,38.2045147142857,68920695.4285714,46483791,21796474.7142857,1534436.14285714,20.4928571428571,13.82,6.48142857142857,4562.42857142857,64955.8571428571,"6500.71",0.98
"72",9,53.4428574285714,38.1105798571429,83131011,54451421.2857143,27935221.8571429,2030045,24.7171428571429,16.1914285714286,8.30428571428571,6036.14285714286,56349.5714285714,"5640.14",0.05
"79",10,53.3136108571429,39.6811547142857,99085630.4285714,64607158.2857143,34250227.7142857,2279231.28571429,29.4614285714286,19.2085714285714,10.1828571428571,6776.71428571429,53014.7142857143,"4882.14",0.76
"86",11,54.0478822857143,40.0665712857143,116117725.428571,75766969.7142857,41065873.1428571,2433156.42857143,34.5257142857143,22.5285714285714,12.2114285714286,7234.57142857143,54788.7142857143,"4637.86",0.83
"93",12,54.3512815714286,39.5423674285714,134119146.714286,87773830.8571429,47808680,2571631.57142857,39.8785714285714,26.0985714285714,14.2157142857143,7646.14285714286,61994.2857142857,"4645.57",1.24
"100",13,53.9439891428571,39.6457614285714,154524072.428571,100064510.428571,56570548.4285714,2914989.42857143,45.9457142857143,29.7528571428571,16.82,8667.28571428571,63325.2857142857,"4953.71",-0.36
"107",14,53.5069355714286,39.6396471428571,175926980.285714,112668689.571429,66794396.7142857,3057558.28571429,52.31,33.5014285714286,19.86,9091,67690.1428571429,"5151.86",1.09
"114",15,53.1642541428571,40.3577945714286,198949336,125909870.571429,78844612.4285714,3288908,59.1542857142857,37.4342857142857,23.4428571428571,9778.85714285714,67980.1428571429,"5554.57",-0.11
"121",16,53.6406652857143,40.2791985714286,219499028.142857,135954763.142857,89636210.2857143,2935670.28571429,65.2642857142857,40.42,26.6528571428571,8728.85714285714,53830.2857142857,"5625.14",0.91
"128",17,54.0637702857143,41.3001738571429,237770092.428571,143912696.857143,99993347.5714286,2610152.14285714,70.6957142857143,42.7885714285714,29.73,7760.85714285714,48915.8571428571,"4917.14",0.76
"135",18,53.4531195714286,40.063194,252561907.285714,149612365.857143,109389314.714286,2113116.42857143,75.0942857142857,44.4828571428571,32.5271428571429,6283,38913,"4699.71",0.94
"142",19,53.1733947142857,40.4575497142857,266886527.285714,154782888,119109787.428571,2046374,79.3557142857143,46.0228571428571,35.4157142857143,6084.57142857143,30402.4285714286,"4143.43",0.73
"149",20,53.4133698571429,40.724354,279698813,160371992.285714,126734484.857143,1830326.57142857,83.1628571428571,47.6857142857143,37.6814285714286,5442,24096.5714285714,"3548.43",0.93
"156",21,53.9991164285714,40.5764138571429,290764337.285714,165765550.428571,132764714.142857,1580789.14285714,86.4528571428571,49.2842857142857,39.4757142857143,4700.14285714286,19001.2857142857,"3181",0.68
"163",22,53.4336215714286,40.3365355714286,298677648.333333,169525873,117600669.285714,1069022,88.8066666666667,50.4066666666667,40.795,3178.57142857143,13913.8571428571,"2506.43",0.5
"170",23,53.1483751428571,40.5917397142857,305880249.428571,172501535.285714,141698544.142857,1090394.14285714,90.9485714285714,51.2914285714286,42.1314285714286,3242.14285714286,13450.7142857143,"2260.86",0.57
"177",24,52.1393137142857,41.9628875714286,314507148.285714,175706522.571429,147450604,1232414.14285714,93.5114285714286,52.2442857142857,43.8414285714286,3664.57142857143,11615.7142857143,"2049.57",0.64
"184",25,52.345533,42.1978402857143,320715621.857143,178269260.285714,151334068.571429,886924.714285714,95.36,53.0042857142857,44.9957142857143,2637.28571428571,12727.7142857143,"1848.57",0
"191",26,52.23065,42.191082,327660760.285714,181106119.428571,155615321.714286,992162.714285714,97.4257142857143,53.85,46.27,2949.85714285714,15624.4285714286,"1866.86",0
